loja,cep,categoria_bloco,nome_produto,preco,link_produto,data_coleta
LOJA 810 - FLORIANÓPOLIS,88063-038,Arroz,Arroz Parboilizado Catarinão 5kg,12.98,https://www.deliveryfort.com.br/arroz-parboilizado-catarinao-5kg/p,2026-01-14 23:19:11
LOJA 810 - FLORIANÓPOLIS,88063-038,Arroz,Arroz Parboilizado Tio Urbano Tipo 1 com 1kg,3.89,https://www.deliveryfort.com.br/arroz-parboilizado-tio-urbano-tipo-1-com-1kg/p,2026-01-15 23:19:43
LOJA 810 - FLORIANÓPOLIS,88063-038,Arroz,Arroz Parboilizado Buriti Tipo 1 5kg,10.98,https://www.deliveryfort.com.br/arroz-parboilizado-buriti-tipo-1-5kg/p,2026-01-15 23:19:43
LOJA 810 - FLORIANÓPOLIS,88063-038,Arroz,Arroz Parboilizado Catarinão 1kg,2.69,https://www.deliveryfort.com.br/arroz-parboilizado-catarinao-1kg/p,2026-01-15 23:19:43
LOJA 810 - FLORIANÓPOLIS,88063-038,Arroz,Arroz Parboilizado Aladin Tipo 1 1kg,2.98,https://www.deliveryfort.com.br/arroz-parboilizado-aladin-tipo-1-1kg/p,2026-01-15 23:19:43
LOJA 810 - FLORIANÓPOLIS,88063-038,Arroz,Arroz Parboilizado Aladin Tipo 1 5kg,11.98,https://www.deliveryfort.com.br/arroz-parboilizado-aladin-tipo-1-5kg/p,2026-01-15 23:19:43
LOJA 810 - FLORIANÓPOLIS,88063-038,Arroz,Arroz Parboilizado Tio Urbano Tipo 1kg Com 8 Saquinhos,4.79,https://www.deliveryfort.com.br/arroz-parboilizado-tio-urbano-tipo-1kg-com-8-saquinhos/p,2026-01-15 23:19:43
LOJA 810 - FLORIANÓPOLIS,88063-038,Arroz,Arroz Parboilizado Tio Urbano Tipo 1 5kg,17.9,https://www.deliveryfort.com.br/arroz-parboilizado-tio-urbano-tipo-1-5kg/p,2026-01-15 23:19:43
LOJA 810 - FLORIANÓPOLIS,88063-038,Arroz,Arroz Parboilizado Soltinho 1kg,2.69,https://www.deliveryfort.com.br/arroz-parboilizado-soltinho-1kg/p,2026-01-15 23:19:43
LOJA 810 - FLORIANÓPOLIS,88063-038,Arroz,Arroz Parboilizado Tio João Cozinha e Sabor com Galinha 175g,11.9,https://www.deliveryfort.com.br/arroz-parboilizado-tio-joao-cozinha-e-sabor-com-galinha-175g/p,2026-01-15 23:19:43
LOJA 810 - FLORIANÓPOLIS,88063-038,Arroz,Arroz Parboilizado Tio João Cozinha Fácil à Grega 250g,9.28,https://www.deliveryfort.com.br/arroz-parboilizado-tio-joao-cozinha-facil-a-grega-250g/p,2026-01-15 23:19:43
LOJA 810 - FLORIANÓPOLIS,88063-038,Arroz,Arroz Parboilizado Catarinão 5kg,13.99,https://www.deliveryfort.com.br/arroz-parboilizado-catarinao-5kg/p,2026-01-15 23:19:43
LOJA 810 - FLORIANÓPOLIS,88063-038,Arroz,Arroz Parboilizado Tio João 1kg,3.89,https://www.deliveryfort.com.br/arroz-parboilizado-tio-joao-1kg/p,2026-01-15 23:19:43
LOJA 810 - FLORIANÓPOLIS,88063-038,Arroz,Arroz Parboilizado Tio Urbano Tipo 1 com 1kg,3.89,https://www.deliveryfort.com.br/arroz-parboilizado-tio-urbano-tipo-1-com-1kg/p,2026-01-16 23:19:38
LOJA 810 - FLORIANÓPOLIS,88063-038,Arroz,Arroz Parboilizado Buriti Tipo 1 5kg,8.45,https://www.deliveryfort.com.br/arroz-parboilizado-buriti-tipo-1-5kg/p,2026-01-16 23:19:38
LOJA 810 - FLORIANÓPOLIS,88063-038,Arroz,Arroz Parboilizado Catarinão 1kg,2.69,https://www.deliveryfort.com.br/arroz-parboilizado-catarinao-1kg/p,2026-01-16 23:19:38
LOJA 810 - FLORIANÓPOLIS,88063-038,Arroz,Arroz Parboilizado Aladin Tipo 1 1kg,2.98,https://www.deliveryfort.com.br/arroz-parboilizado-aladin-tipo-1-1kg/p,2026-01-16 23:19:38
LOJA 810 - FLORIANÓPOLIS,88063-038,Arroz,Arroz Parboilizado Aladin Tipo 1 5kg,11.98,https://www.deliveryfort.com.br/arroz-parboilizado-aladin-tipo-1-5kg/p,2026-01-16 23:19:38
LOJA 810 - FLORIANÓPOLIS,88063-038,Arroz,Arroz Parboilizado Tio Urbano Tipo 1kg Com 8 Saquinhos,4.79,https://www.deliveryfort.com.br/arroz-parboilizado-tio-urbano-tipo-1kg-com-8-saquinhos/p,2026-01-16 23:19:38
LOJA 810 - FLORIANÓPOLIS,88063-038,Arroz,Arroz Parboilizado Tio Urbano Tipo 1 5kg,17.9,https://www.deliveryfort.com.br/arroz-parboilizado-tio-urbano-tipo-1-5kg/p,2026-01-16 23:19:38
LOJA 810 - FLORIANÓPOLIS,88063-038,Arroz,Arroz Parboilizado Soltinho 1kg,2.69,https://www.deliveryfort.com.br/arroz-parboilizado-soltinho-1kg/p,2026-01-16 23:19:38
LOJA 810 - FLORIANÓPOLIS,88063-038,Arroz,Arroz Parboilizado Tio João Cozinha e Sabor com Galinha 175g,11.9,https://www.deliveryfort.com.br/arroz-parboilizado-tio-joao-cozinha-e-sabor-com-galinha-175g/p,2026-01-16 23:19:38
LOJA 810 - FLORIANÓPOLIS,88063-038,Arroz,Arroz Parboilizado Tio João Cozinha Fácil à Grega 250g,9.28,https://www.deliveryfort.com.br/arroz-parboilizado-tio-joao-cozinha-facil-a-grega-250g/p,2026-01-16 23:19:38
LOJA 810 - FLORIANÓPOLIS,88063-038,Arroz,Arroz Parboilizado Catarinão 5kg,12.98,https://www.deliveryfort.com.br/arroz-parboilizado-catarinao-5kg/p,2026-01-16 23:19:38
LOJA 810 - FLORIANÓPOLIS,88063-038,Arroz,Arroz Parboilizado Tio João 1kg,3.89,https://www.deliveryfort.com.br/arroz-parboilizado-tio-joao-1kg/p,2026-01-16 23:19:38
LOJA 810 - FLORIANÓPOLIS,88063-038,Arroz,Arroz Parboilizado Tio Urbano Tipo 1 com 1kg,3.89,https://www.deliveryfort.com.br/arroz-parboilizado-tio-urbano-tipo-1-com-1kg/p,2026-01-17 23:19:26
LOJA 810 - FLORIANÓPOLIS,88063-038,Arroz,Arroz Parboilizado Buriti Tipo 1 5kg,8.45,https://www.deliveryfort.com.br/arroz-parboilizado-buriti-tipo-1-5kg/p,2026-01-17 23:19:26
LOJA 810 - FLORIANÓPOLIS,88063-038,Arroz,Arroz Parboilizado Catarinão 1kg,2.69,https://www.deliveryfort.com.br/arroz-parboilizado-catarinao-1kg/p,2026-01-17 23:19:26
LOJA 810 - FLORIANÓPOLIS,88063-038,Arroz,Arroz Parboilizado Aladin Tipo 1 1kg,2.98,https://www.deliveryfort.com.br/arroz-parboilizado-aladin-tipo-1-1kg/p,2026-01-17 23:19:26
LOJA 810 - FLORIANÓPOLIS,88063-038,Arroz,Arroz Parboilizado Aladin Tipo 1 5kg,11.98,https://www.deliveryfort.com.br/arroz-parboilizado-aladin-tipo-1-5kg/p,2026-01-17 23:19:26
LOJA 810 - FLORIANÓPOLIS,88063-038,Arroz,Arroz Parboilizado Tio Urbano Tipo 1kg Com 8 Saquinhos,4.79,https://www.deliveryfort.com.br/arroz-parboilizado-tio-urbano-tipo-1kg-com-8-saquinhos/p,2026-01-17 23:19:26
LOJA 810 - FLORIANÓPOLIS,88063-038,Arroz,Arroz Parboilizado Tio Urbano Tipo 1 5kg,17.9,https://www.deliveryfort.com.br/arroz-parboilizado-tio-urbano-tipo-1-5kg/p,2026-01-17 23:19:26
LOJA 810 - FLORIANÓPOLIS,88063-038,Arroz,Arroz Parboilizado Soltinho 1kg,2.69,https://www.deliveryfort.com.br/arroz-parboilizado-soltinho-1kg/p,2026-01-17 23:19:26
LOJA 810 - FLORIANÓPOLIS,88063-038,Arroz,Arroz Parboilizado Tio João Cozinha e Sabor com Galinha 175g,11.9,https://www.deliveryfort.com.br/arroz-parboilizado-tio-joao-cozinha-e-sabor-com-galinha-175g/p,2026-01-17 23:19:26
LOJA 810 - FLORIANÓPOLIS,88063-038,Arroz,Arroz Parboilizado Tio João Cozinha Fácil à Grega 250g,9.28,https://www.deliveryfort.com.br/arroz-parboilizado-tio-joao-cozinha-facil-a-grega-250g/p,2026-01-17 23:19:26
LOJA 810 - FLORIANÓPOLIS,88063-038,Arroz,Arroz Parboilizado Catarinão 5kg,12.98,https://www.deliveryfort.com.br/arroz-parboilizado-catarinao-5kg/p,2026-01-17 23:19:26
LOJA 810 - FLORIANÓPOLIS,88063-038,Arroz,Arroz Parboilizado Tio João 1kg,3.89,https://www.deliveryfort.com.br/arroz-parboilizado-tio-joao-1kg/p,2026-01-17 23:19:26
LOJA 810 - FLORIANÓPOLIS,88063-038,Arroz,Arroz Parboilizado Tio Urbano Tipo 1 com 1kg,3.89,https://www.deliveryfort.com.br/arroz-parboilizado-tio-urbano-tipo-1-com-1kg/p,2026-01-18 23:19:25
LOJA 810 - FLORIANÓPOLIS,88063-038,Arroz,Arroz Parboilizado Buriti Tipo 1 5kg,8.45,https://www.deliveryfort.com.br/arroz-parboilizado-buriti-tipo-1-5kg/p,2026-01-18 23:19:25
LOJA 810 - FLORIANÓPOLIS,88063-038,Arroz,Arroz Parboilizado Catarinão 1kg,2.69,https://www.deliveryfort.com.br/arroz-parboilizado-catarinao-1kg/p,2026-01-18 23:19:25
LOJA 810 - FLORIANÓPOLIS,88063-038,Arroz,Arroz Parboilizado Aladin Tipo 1 1kg,2.98,https://www.deliveryfort.com.br/arroz-parboilizado-aladin-tipo-1-1kg/p,2026-01-18 23:19:25
LOJA 810 - FLORIANÓPOLIS,88063-038,Arroz,Arroz Parboilizado Aladin Tipo 1 5kg,11.98,https://www.deliveryfort.com.br/arroz-parboilizado-aladin-tipo-1-5kg/p,2026-01-18 23:19:25
LOJA 810 - FLORIANÓPOLIS,88063-038,Arroz,Arroz Parboilizado Tio Urbano Tipo 1kg Com 8 Saquinhos,4.79,https://www.deliveryfort.com.br/arroz-parboilizado-tio-urbano-tipo-1kg-com-8-saquinhos/p,2026-01-18 23:19:25
LOJA 810 - FLORIANÓPOLIS,88063-038,Arroz,Arroz Parboilizado Tio Urbano Tipo 1 5kg,17.9,https://www.deliveryfort.com.br/arroz-parboilizado-tio-urbano-tipo-1-5kg/p,2026-01-18 23:19:25
LOJA 810 - FLORIANÓPOLIS,88063-038,Arroz,Arroz Parboilizado Soltinho 1kg,2.69,https://www.deliveryfort.com.br/arroz-parboilizado-soltinho-1kg/p,2026-01-18 23:19:25
LOJA 810 - FLORIANÓPOLIS,88063-038,Arroz,Arroz Parboilizado Tio João Cozinha e Sabor com Galinha 175g,11.9,https://www.deliveryfort.com.br/arroz-parboilizado-tio-joao-cozinha-e-sabor-com-galinha-175g/p,2026-01-18 23:19:25
LOJA 810 - FLORIANÓPOLIS,88063-038,Arroz,Arroz Parboilizado Tio João Cozinha Fácil à Grega 250g,9.28,https://www.deliveryfort.com.br/arroz-parboilizado-tio-joao-cozinha-facil-a-grega-250g/p,2026-01-18 23:19:25
LOJA 810 - FLORIANÓPOLIS,88063-038,Arroz,Arroz Parboilizado Catarinão 5kg,12.98,https://www.deliveryfort.com.br/arroz-parboilizado-catarinao-5kg/p,2026-01-18 23:19:25
LOJA 810 - FLORIANÓPOLIS,88063-038,Arroz,Arroz Parboilizado Tio João 1kg,3.89,https://www.deliveryfort.com.br/arroz-parboilizado-tio-joao-1kg/p,2026-01-18 23:19:25
LOJA 810 - FLORIANÓPOLIS,88063-038,Arroz,Arroz Parboilizado Tio Urbano Tipo 1 com 1kg,3.89,https://www.deliveryfort.com.br/arroz-parboilizado-tio-urbano-tipo-1-com-1kg/p,2026-01-19 23:19:44
LOJA 810 - FLORIANÓPOLIS,88063-038,Arroz,Arroz Parboilizado Buriti Tipo 1 5kg,10.98,https://www.deliveryfort.com.br/arroz-parboilizado-buriti-tipo-1-5kg/p,2026-01-19 23:19:44
LOJA 810 - FLORIANÓPOLIS,88063-038,Arroz,Arroz Parboilizado Catarinão 1kg,2.69,https://www.deliveryfort.com.br/arroz-parboilizado-catarinao-1kg/p,2026-01-19 23:19:44
LOJA 810 - FLORIANÓPOLIS,88063-038,Arroz,Arroz Parboilizado Aladin Tipo 1 1kg,2.98,https://www.deliveryfort.com.br/arroz-parboilizado-aladin-tipo-1-1kg/p,2026-01-19 23:19:44
LOJA 810 - FLORIANÓPOLIS,88063-038,Arroz,Arroz Parboilizado Aladin Tipo 1 5kg,11.98,https://www.deliveryfort.com.br/arroz-parboilizado-aladin-tipo-1-5kg/p,2026-01-19 23:19:44
LOJA 810 - FLORIANÓPOLIS,88063-038,Arroz,Arroz Parboilizado Tio Urbano Tipo 1kg Com 8 Saquinhos,4.79,https://www.deliveryfort.com.br/arroz-parboilizado-tio-urbano-tipo-1kg-com-8-saquinhos/p,2026-01-19 23:19:44
LOJA 810 - FLORIANÓPOLIS,88063-038,Arroz,Arroz Parboilizado Tio Urbano Tipo 1 5kg,17.9,https://www.deliveryfort.com.br/arroz-parboilizado-tio-urbano-tipo-1-5kg/p,2026-01-19 23:19:44
LOJA 810 - FLORIANÓPOLIS,88063-038,Arroz,Arroz Parboilizado Soltinho 1kg,2.69,https://www.deliveryfort.com.br/arroz-parboilizado-soltinho-1kg/p,2026-01-19 23:19:44
LOJA 810 - FLORIANÓPOLIS,88063-038,Arroz,Arroz Parboilizado Tio João Cozinha e Sabor com Galinha 175g,11.9,https://www.deliveryfort.com.br/arroz-parboilizado-tio-joao-cozinha-e-sabor-com-galinha-175g/p,2026-01-19 23:19:44
LOJA 810 - FLORIANÓPOLIS,88063-038,Arroz,Arroz Parboilizado Tio João Cozinha Fácil à Grega 250g,9.28,https://www.deliveryfort.com.br/arroz-parboilizado-tio-joao-cozinha-facil-a-grega-250g/p,2026-01-19 23:19:44
LOJA 810 - FLORIANÓPOLIS,88063-038,Arroz,Arroz Parboilizado Catarinão 5kg,12.98,https://www.deliveryfort.com.br/arroz-parboilizado-catarinao-5kg/p,2026-01-19 23:19:44
LOJA 810 - FLORIANÓPOLIS,88063-038,Arroz,Arroz Parboilizado Tio João 1kg,3.89,https://www.deliveryfort.com.br/arroz-parboilizado-tio-joao-1kg/p,2026-01-19 23:19:44
LOJA 810 - FLORIANÓPOLIS,88063-038,Arroz,Arroz Parboilizado Tio Urbano Tipo 1 com 1kg,3.89,https://www.deliveryfort.com.br/arroz-parboilizado-tio-urbano-tipo-1-com-1kg/p,2026-01-20 23:20:10
LOJA 810 - FLORIANÓPOLIS,88063-038,Arroz,Arroz Parboilizado Buriti Tipo 1 5kg,10.98,https://www.deliveryfort.com.br/arroz-parboilizado-buriti-tipo-1-5kg/p,2026-01-20 23:20:10
LOJA 810 - FLORIANÓPOLIS,88063-038,Arroz,Arroz Parboilizado Catarinão 1kg,2.69,https://www.deliveryfort.com.br/arroz-parboilizado-catarinao-1kg/p,2026-01-20 23:20:10
LOJA 810 - FLORIANÓPOLIS,88063-038,Arroz,Arroz Parboilizado Aladin Tipo 1 1kg,2.98,https://www.deliveryfort.com.br/arroz-parboilizado-aladin-tipo-1-1kg/p,2026-01-20 23:20:10
LOJA 810 - FLORIANÓPOLIS,88063-038,Arroz,Arroz Parboilizado Aladin Tipo 1 5kg,11.98,https://www.deliveryfort.com.br/arroz-parboilizado-aladin-tipo-1-5kg/p,2026-01-20 23:20:10
LOJA 810 - FLORIANÓPOLIS,88063-038,Arroz,Arroz Parboilizado Tio Urbano Tipo 1kg Com 8 Saquinhos,4.79,https://www.deliveryfort.com.br/arroz-parboilizado-tio-urbano-tipo-1kg-com-8-saquinhos/p,2026-01-20 23:20:10
LOJA 810 - FLORIANÓPOLIS,88063-038,Arroz,Arroz Parboilizado Tio Urbano Tipo 1 5kg,17.9,https://www.deliveryfort.com.br/arroz-parboilizado-tio-urbano-tipo-1-5kg/p,2026-01-20 23:20:10
LOJA 810 - FLORIANÓPOLIS,88063-038,Arroz,Arroz Parboilizado Soltinho 1kg,2.69,https://www.deliveryfort.com.br/arroz-parboilizado-soltinho-1kg/p,2026-01-20 23:20:10
LOJA 810 - FLORIANÓPOLIS,88063-038,Arroz,Arroz Parboilizado Tio João Cozinha e Sabor com Galinha 175g,11.9,https://www.deliveryfort.com.br/arroz-parboilizado-tio-joao-cozinha-e-sabor-com-galinha-175g/p,2026-01-20 23:20:10
LOJA 810 - FLORIANÓPOLIS,88063-038,Arroz,Arroz Parboilizado Tio João Cozinha Fácil à Grega 250g,9.28,https://www.deliveryfort.com.br/arroz-parboilizado-tio-joao-cozinha-facil-a-grega-250g/p,2026-01-20 23:20:10
LOJA 810 - FLORIANÓPOLIS,88063-038,Arroz,Arroz Parboilizado Catarinão 5kg,12.98,https://www.deliveryfort.com.br/arroz-parboilizado-catarinao-5kg/p,2026-01-20 23:20:10
LOJA 810 - FLORIANÓPOLIS,88063-038,Arroz,Arroz Parboilizado Tio João 1kg,3.89,https://www.deliveryfort.com.br/arroz-parboilizado-tio-joao-1kg/p,2026-01-20 23:20:10
LOJA 810 - FLORIANÓPOLIS,88063-038,Arroz,Arroz Parboilizado Tio Urbano Tipo 1 com 1kg,3.59,https://www.deliveryfort.com.br/arroz-parboilizado-tio-urbano-tipo-1-com-1kg/p,2026-01-21 23:20:59
LOJA 810 - FLORIANÓPOLIS,88063-038,Arroz,Arroz Parboilizado Buriti Tipo 1 5kg,10.98,https://www.deliveryfort.com.br/arroz-parboilizado-buriti-tipo-1-5kg/p,2026-01-21 23:20:59
LOJA 810 - FLORIANÓPOLIS,88063-038,Arroz,Arroz Parboilizado Catarinão 1kg,2.48,https://www.deliveryfort.com.br/arroz-parboilizado-catarinao-1kg/p,2026-01-21 23:20:59
LOJA 810 - FLORIANÓPOLIS,88063-038,Arroz,Arroz Parboilizado Aladin Tipo 1 1kg,2.38,https://www.deliveryfort.com.br/arroz-parboilizado-aladin-tipo-1-1kg/p,2026-01-21 23:20:59
LOJA 810 - FLORIANÓPOLIS,88063-038,Arroz,Arroz Parboilizado Catarinão 5kg,12.98,https://www.deliveryfort.com.br/arroz-parboilizado-catarinao-5kg/p,2026-01-21 23:20:59
LOJA 810 - FLORIANÓPOLIS,88063-038,Arroz,Arroz Parboilizado Aladin Tipo 1 5kg,10.98,https://www.deliveryfort.com.br/arroz-parboilizado-aladin-tipo-1-5kg/p,2026-01-21 23:20:59
LOJA 810 - FLORIANÓPOLIS,88063-038,Arroz,Arroz Parboilizado Tio Urbano Tipo 1kg Com 8 Saquinhos,4.58,https://www.deliveryfort.com.br/arroz-parboilizado-tio-urbano-tipo-1kg-com-8-saquinhos/p,2026-01-21 23:20:59
LOJA 810 - FLORIANÓPOLIS,88063-038,Arroz,Arroz Parboilizado Tio Urbano Tipo 1 5kg,16.9,https://www.deliveryfort.com.br/arroz-parboilizado-tio-urbano-tipo-1-5kg/p,2026-01-21 23:20:59
LOJA 810 - FLORIANÓPOLIS,88063-038,Arroz,Arroz Parboilizado Soltinho 1kg,2.49,https://www.deliveryfort.com.br/arroz-parboilizado-soltinho-1kg/p,2026-01-21 23:20:59
LOJA 810 - FLORIANÓPOLIS,88063-038,Arroz,Arroz Parboilizado Tio João Cozinha e Sabor com Galinha 175g,11.9,https://www.deliveryfort.com.br/arroz-parboilizado-tio-joao-cozinha-e-sabor-com-galinha-175g/p,2026-01-21 23:20:59
LOJA 810 - FLORIANÓPOLIS,88063-038,Arroz,Arroz Parboilizado Tio João Cozinha Fácil à Grega 250g,9.28,https://www.deliveryfort.com.br/arroz-parboilizado-tio-joao-cozinha-facil-a-grega-250g/p,2026-01-21 23:20:59
LOJA 810 - FLORIANÓPOLIS,88063-038,Arroz,Arroz Parboilizado Tio João 1kg,5.49,https://www.deliveryfort.com.br/arroz-parboilizado-tio-joao-1kg/p,2026-01-21 23:20:59
LOJA 810 - FLORIANÓPOLIS,88063-038,Arroz,Arroz Parboilizado Tio Urbano Tipo 1 com 1kg,3.59,https://www.deliveryfort.com.br/arroz-parboilizado-tio-urbano-tipo-1-com-1kg/p,2026-01-22 23:19:53
LOJA 810 - FLORIANÓPOLIS,88063-038,Arroz,Arroz Parboilizado Buriti Tipo 1 5kg,10.98,https://www.deliveryfort.com.br/arroz-parboilizado-buriti-tipo-1-5kg/p,2026-01-22 23:19:53
LOJA 810 - FLORIANÓPOLIS,88063-038,Arroz,Arroz Parboilizado Catarinão 1kg,2.48,https://www.deliveryfort.com.br/arroz-parboilizado-catarinao-1kg/p,2026-01-22 23:19:53
LOJA 810 - FLORIANÓPOLIS,88063-038,Arroz,Arroz Parboilizado Aladin Tipo 1 1kg,2.38,https://www.deliveryfort.com.br/arroz-parboilizado-aladin-tipo-1-1kg/p,2026-01-22 23:19:53
LOJA 810 - FLORIANÓPOLIS,88063-038,Arroz,Arroz Parboilizado Catarinão 5kg,12.29,https://www.deliveryfort.com.br/arroz-parboilizado-catarinao-5kg/p,2026-01-22 23:19:53
LOJA 810 - FLORIANÓPOLIS,88063-038,Arroz,Arroz Parboilizado Aladin Tipo 1 5kg,10.98,https://www.deliveryfort.com.br/arroz-parboilizado-aladin-tipo-1-5kg/p,2026-01-22 23:19:53
LOJA 810 - FLORIANÓPOLIS,88063-038,Arroz,Arroz Parboilizado Tio Urbano Tipo 1kg Com 8 Saquinhos,4.58,https://www.deliveryfort.com.br/arroz-parboilizado-tio-urbano-tipo-1kg-com-8-saquinhos/p,2026-01-22 23:19:53
LOJA 810 - FLORIANÓPOLIS,88063-038,Arroz,Arroz Parboilizado Tio Urbano Tipo 1 5kg,16.9,https://www.deliveryfort.com.br/arroz-parboilizado-tio-urbano-tipo-1-5kg/p,2026-01-22 23:19:53
LOJA 810 - FLORIANÓPOLIS,88063-038,Arroz,Arroz Parboilizado Soltinho 1kg,2.49,https://www.deliveryfort.com.br/arroz-parboilizado-soltinho-1kg/p,2026-01-22 23:19:53
LOJA 810 - FLORIANÓPOLIS,88063-038,Arroz,Arroz Parboilizado Tio João Cozinha e Sabor com Galinha 175g,11.9,https://www.deliveryfort.com.br/arroz-parboilizado-tio-joao-cozinha-e-sabor-com-galinha-175g/p,2026-01-22 23:19:53
LOJA 810 - FLORIANÓPOLIS,88063-038,Arroz,Arroz Parboilizado Tio João Cozinha Fácil à Grega 250g,9.28,https://www.deliveryfort.com.br/arroz-parboilizado-tio-joao-cozinha-facil-a-grega-250g/p,2026-01-22 23:19:53
LOJA 810 - FLORIANÓPOLIS,88063-038,Arroz,Arroz Parboilizado Tio João 1kg,5.49,https://www.deliveryfort.com.br/arroz-parboilizado-tio-joao-1kg/p,2026-01-22 23:19:53
LOJA 810 - FLORIANÓPOLIS,88063-038,Arroz,Arroz Parboilizado Tio Urbano Tipo 1 com 1kg,3.59,https://www.deliveryfort.com.br/arroz-parboilizado-tio-urbano-tipo-1-com-1kg/p,2026-01-23 23:19:47
LOJA 810 - FLORIANÓPOLIS,88063-038,Arroz,Arroz Parboilizado Buriti Tipo 1 5kg,10.98,https://www.deliveryfort.com.br/arroz-parboilizado-buriti-tipo-1-5kg/p,2026-01-23 23:19:47
LOJA 810 - FLORIANÓPOLIS,88063-038,Arroz,Arroz Parboilizado Catarinão 1kg,2.48,https://www.deliveryfort.com.br/arroz-parboilizado-catarinao-1kg/p,2026-01-23 23:19:47
LOJA 810 - FLORIANÓPOLIS,88063-038,Arroz,Arroz Parboilizado Aladin Tipo 1 1kg,2.38,https://www.deliveryfort.com.br/arroz-parboilizado-aladin-tipo-1-1kg/p,2026-01-23 23:19:47
LOJA 810 - FLORIANÓPOLIS,88063-038,Arroz,Arroz Parboilizado Catarinão 5kg,12.29,https://www.deliveryfort.com.br/arroz-parboilizado-catarinao-5kg/p,2026-01-23 23:19:47
LOJA 810 - FLORIANÓPOLIS,88063-038,Arroz,Arroz Parboilizado Aladin Tipo 1 5kg,10.98,https://www.deliveryfort.com.br/arroz-parboilizado-aladin-tipo-1-5kg/p,2026-01-23 23:19:47
LOJA 810 - FLORIANÓPOLIS,88063-038,Arroz,Arroz Parboilizado Tio Urbano Tipo 1kg Com 8 Saquinhos,4.58,https://www.deliveryfort.com.br/arroz-parboilizado-tio-urbano-tipo-1kg-com-8-saquinhos/p,2026-01-23 23:19:47
LOJA 810 - FLORIANÓPOLIS,88063-038,Arroz,Arroz Parboilizado Tio Urbano Tipo 1 5kg,16.9,https://www.deliveryfort.com.br/arroz-parboilizado-tio-urbano-tipo-1-5kg/p,2026-01-23 23:19:47
LOJA 810 - FLORIANÓPOLIS,88063-038,Arroz,Arroz Parboilizado Soltinho 1kg,2.49,https://www.deliveryfort.com.br/arroz-parboilizado-soltinho-1kg/p,2026-01-23 23:19:47
LOJA 810 - FLORIANÓPOLIS,88063-038,Arroz,Arroz Parboilizado Tio João Cozinha e Sabor com Galinha 175g,11.9,https://www.deliveryfort.com.br/arroz-parboilizado-tio-joao-cozinha-e-sabor-com-galinha-175g/p,2026-01-23 23:19:47
LOJA 810 - FLORIANÓPOLIS,88063-038,Arroz,Arroz Parboilizado Tio João Cozinha Fácil à Grega 250g,9.28,https://www.deliveryfort.com.br/arroz-parboilizado-tio-joao-cozinha-facil-a-grega-250g/p,2026-01-23 23:19:47
LOJA 810 - FLORIANÓPOLIS,88063-038,Arroz,Arroz Parboilizado Tio João 1kg,5.49,https://www.deliveryfort.com.br/arroz-parboilizado-tio-joao-1kg/p,2026-01-23 23:19:47
LOJA 810 - FLORIANÓPOLIS,88063-038,Arroz,Arroz Parboilizado Tio Urbano Tipo 1 com 1kg,3.59,https://www.deliveryfort.com.br/arroz-parboilizado-tio-urbano-tipo-1-com-1kg/p,2026-01-24 23:19:33
LOJA 810 - FLORIANÓPOLIS,88063-038,Arroz,Arroz Parboilizado Buriti Tipo 1 5kg,8.59,https://www.deliveryfort.com.br/arroz-parboilizado-buriti-tipo-1-5kg/p,2026-01-24 23:19:33
LOJA 810 - FLORIANÓPOLIS,88063-038,Arroz,Arroz Parboilizado Catarinão 1kg,2.48,https://www.deliveryfort.com.br/arroz-parboilizado-catarinao-1kg/p,2026-01-24 23:19:33
LOJA 810 - FLORIANÓPOLIS,88063-038,Arroz,Arroz Parboilizado Aladin Tipo 1 1kg,2.38,https://www.deliveryfort.com.br/arroz-parboilizado-aladin-tipo-1-1kg/p,2026-01-24 23:19:33
LOJA 810 - FLORIANÓPOLIS,88063-038,Arroz,Arroz Parboilizado Catarinão 5kg,12.29,https://www.deliveryfort.com.br/arroz-parboilizado-catarinao-5kg/p,2026-01-24 23:19:33
LOJA 810 - FLORIANÓPOLIS,88063-038,Arroz,Arroz Parboilizado Aladin Tipo 1 5kg,10.98,https://www.deliveryfort.com.br/arroz-parboilizado-aladin-tipo-1-5kg/p,2026-01-24 23:19:33
LOJA 810 - FLORIANÓPOLIS,88063-038,Arroz,Arroz Parboilizado Tio Urbano Tipo 1kg Com 8 Saquinhos,4.58,https://www.deliveryfort.com.br/arroz-parboilizado-tio-urbano-tipo-1kg-com-8-saquinhos/p,2026-01-24 23:19:33
LOJA 810 - FLORIANÓPOLIS,88063-038,Arroz,Arroz Parboilizado Tio Urbano Tipo 1 5kg,16.9,https://www.deliveryfort.com.br/arroz-parboilizado-tio-urbano-tipo-1-5kg/p,2026-01-24 23:19:33
LOJA 810 - FLORIANÓPOLIS,88063-038,Arroz,Arroz Parboilizado Soltinho 1kg,2.49,https://www.deliveryfort.com.br/arroz-parboilizado-soltinho-1kg/p,2026-01-24 23:19:33
LOJA 810 - FLORIANÓPOLIS,88063-038,Arroz,Arroz Parboilizado Tio João Cozinha e Sabor com Galinha 175g,11.9,https://www.deliveryfort.com.br/arroz-parboilizado-tio-joao-cozinha-e-sabor-com-galinha-175g/p,2026-01-24 23:19:33
